Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
CTB_1stE_750_R1	1.9.0	none	vb	[]	1	['ISR']	1001	235.48480484116627	85.09237556880726	False	True	4096	mapping	False	251955	0	605680	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	46505167	27564772	0	14001114	9182764	170728903	59.27249331240978	quant	Thu Jan 11 18:05:17 2024	Thu Jan 11 18:13:08 2024
CTB_1stE_750_quant	1.9.0	none	vb	[]	1	['ISR']	1001	235.60631290793233	85.39008516985501	False	True	4096	mapping	False	251955	0	605261	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	46505167	27564783	0	14001114	9182764	170728903	59.272516965695445	quant	Wed Jan 17 00:25:21 2024	Wed Jan 17 00:35:26 2024
CTB_1stE_761_R1	1.9.0	none	vb	[]	1	['ISR']	1001	239.45912790304632	86.31006748368534	False	True	4096	mapping	False	251955	0	590265	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40905070	26380902	0	9833839	6515216	137333474	64.49298827749224	quant	Thu Jan 11 18:13:09 2024	Thu Jan 11 18:20:35 2024
CTB_1stE_761_quant	1.9.0	none	vb	[]	1	['ISR']	1001	239.36015330786967	86.12623716161384	False	True	4096	mapping	False	251955	0	590253	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	40905070	26380899	0	9833839	6515216	137333474	64.49298094343806	quant	Wed Jan 17 00:35:28 2024	Wed Jan 17 00:45:03 2024
CTB_1stE_770_R1	1.9.0	none	vb	[]	1	['ISR']	1001	240.22994211561902	86.1376135936894	False	True	4096	mapping	False	251955	0	572386	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	41971510	28300415	0	8271355	5317281	123788349	67.42767891839011	quant	Thu Jan 11 18:20:36 2024	Thu Jan 11 18:27:49 2024
CTB_1stE_770_quant	1.9.0	none	vb	[]	1	['ISR']	1001	240.18830123703353	86.08630412435933	False	True	4096	mapping	False	251955	0	571883	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	41971510	28300420	0	8271355	5317281	123788349	67.4276908312329	quant	Wed Jan 17 00:45:04 2024	Wed Jan 17 00:54:17 2024
CTB_1stE_771_R1	1.9.0	none	vb	[]	1	['ISR']	1001	240.0256529362769	84.53256842748613	False	True	4096	mapping	False	251955	0	634191	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	49817528	35836639	0	9891780	5916535	140468148	71.9358033983541	quant	Thu Jan 11 18:27:50 2024	Thu Jan 11 18:35:58 2024
CTB_1stE_771_quant	1.9.0	none	vb	[]	1	['ISR']	1001	240.01992816224083	84.55763351923662	False	True	4096	mapping	False	251955	0	634338	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	49817528	35836636	0	9891780	5916535	140468148	71.93579737637724	quant	Wed Jan 17 00:54:18 2024	Wed Jan 17 01:04:29 2024
CTB_1stE_772_R1	1.9.0	none	vb	[]	1	['ISR']	1001	242.37401976114066	83.6195139770866	False	True	4096	mapping	False	251955	0	587047	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	43567236	31078550	0	8649496	5555085	125060213	71.33468370589313	quant	Thu Jan 11 18:35:59 2024	Thu Jan 11 18:43:16 2024
CTB_1stE_772_quant	1.9.0	none	vb	[]	1	['ISR']	1001	242.4944885547733	83.6882140449103	False	True	4096	mapping	False	251955	0	587162	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	43567236	31078562	0	8649496	5555085	125060213	71.33471124952705	quant	Wed Jan 17 01:04:31 2024	Wed Jan 17 01:13:18 2024
EVT_1st_1026_S32_R1	1.9.0	none	vb	[]	1	['ISR']	1001	244.9459726119174	89.61071935878434	False	True	4096	mapping	False	251955	0	553777	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	e3f718f453cd3a749c2862a2c0a86ab6baf50529a5b73bf9cbfb95df31847542	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	df3e5b8133dc55ad4af4a9faab6bf34a031d3b8284b8f7e19526088a033cce1ddda1ebef5731fe4b094842ed48536b0095739af8b4ced3fcfc897be0bdda5e23	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42120596	31776133	0	6953592	4146880	101283628	75.44084371455713	quant	Thu Jan 11 18:43:17 2024	Thu Jan 11 18:50:02 2024
EVT_1st_1026_S32_quant	1.9.0	none	vb	[]	1	['ISR']	1001	244.9918249860463	89.65666408367707	False	True	4096	mapping	False	251955	0	553818	False	['range_factorized', 'gzipped']	[550, 775, 1403, 2654, 347561]	fd88296600b98e1333273e657145662fd489a41f40296d387ab4265db2dc0f1c	170c7e69f391b4cfb69861ab118f08db89f9ef29192fbcb7b5d7a6b5f7f911f5	373e06811ade1419f3640c476fbb8fd1e75b4eae2e43c189fb2f9da3b6f011d44cbf5027d9e48337a60fd2d6ec1d016fa9f23fce4bc01bf60690e81577d4c3de	3b3f86753660ef6b94157f5dc0aad17e060448483611f957c2812378d8587f5d78c3cd02ad421e7e7566b7222d8e9b4e4dfa10421405b9aee43d699446122830	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42120596	31776130	0	6953592	4146880	101283628	75.44083659215079	quant	Wed Jan 17 01:13:18 2024	Wed Jan 17 01:21:28 2024
