"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"CTB_1st_717"	"CTB_1st_722"	"CTB_1st_732"	"CTB_1st_734"	"CTB_1st_738"	"CTB_1st_750"	"CTB_1st_761"	"CTB_1st_770"	"CTB_1st_771"	"CTB_1st_772"	"EVT_1st_1026"	"EVT_1st_1087"	"EVT_1st_1089"	"EVT_1st_1094"	"EVT_1st_1096"	"EVT_1st_1097"	"EVT_1st_1099"	"EVT_1st_951"	"EVT_1st_970"	"EVT_1st_977"
"27"	"ENSG00000003987.13"	3.21475605786283	2.23932148324853	6.18577536050034	0.00000375092974660706	0.00000771186372887792	4.51080356203396	2.75368702962801	3.98189378054392	4.00287658867345	3.42635164208942	3.89032951814663	4.07679167878959	4.50334741091827	4.14893997124352	3.67039864431071	4.09507792729071	0.839808179613441	-1.09922626551894	0.135167618784449	1.0317508382573	0.838914600809785	1.14264245060362	0.747709786282172	1.14370922295728	0.862362973907992	0.593896067639257
"28"	"ENSG00000003989.17"	0.897430158607516	7.41486008375754	7.33938345489578	0.00000030308210070213	0.000000747134304143639	5.99191469361181	7.65420365700845	7.75491801820592	8.2388101312714	7.73121309357786	7.69218398680897	7.88337324513803	8.00471101662809	8.03138202749557	7.48413263828285	8.15580984660314	7.24633337551084	6.1491531492724	6.90874419443189	7.00067939232429	7.13950040295476	6.8542738748346	6.85123247842861	7.31337397454935	7.00979543206669	7.19337773975716
"30"	"ENSG00000004142.11"	0.316531385591337	5.89233314731543	5.87750965270639	0.000007556890587759	0.0000149529346069195	2.7349679245754	6.07728781460523	6.19982261145294	6.05882452364818	6.05936428229115	6.08812350431704	5.85626649071251	5.99953568621665	6.11258299939713	6.06336607612993	6.01427011838761	5.77367655233046	5.81280763336554	5.65936949281198	5.59706314360153	5.86365084142035	5.85450137543286	5.60569078140974	5.56953818395696	5.93630857354796	5.64461226127276
"31"	"ENSG00000004399.12"	-1.19374923068182	6.65712195859305	-9.27712703066983	0.00000000658353968880544	0.000000022114435562755	9.93142027898855	6.28378327060496	6.19213846523976	5.91051514681884	6.25920115898287	6.05253392444249	5.85085130121714	5.50279539444286	6.2143013871293	6.46556599618285	5.86287180174491	7.51138121752465	6.97223609703769	6.924801066255	6.73542973834239	7.50680121590048	7.68436309323075	7.09815425602398	7.26843480496949	7.65635610344725	7.18992373232337
"32"	"ENSG00000004455.16"	0.777817399184404	6.723186002576	14.0778670192104	3.19911479853613e-12	2.3529341130502e-11	17.8061663572479	6.99171486909778	7.22088026024722	7.08894513159929	7.13422977490627	7.16056464923781	7.13457160424624	7.06624964116316	7.22605808043704	7.17730946920031	6.9284735799779	6.17686579935406	6.5283944681271	6.3314309946714	6.42718760288024	6.42882931551924	6.40772468508627	6.27641171391366	6.06241760647324	6.3156503399585	6.37981046542335
"33"	"ENSG00000004478.7"	1.58106750847065	6.9407454304041	24.7680719935355	4.05191979923898e-17	2.58097286471278e-15	29.3509810410829	7.63001879339945	7.7847851121741	7.68730548753599	7.66158853117923	7.86049193786576	7.65775403864766	7.82759167127071	7.70271564992394	7.8112942545422	7.69358909799146	6.01214531176462	5.97860674697666	6.24710169615323	5.97746068275634	6.23622578087945	6.23814845556416	6.43023277256138	5.97166018731047	6.00233019643186	6.4038622031534
"34"	"ENSG00000004487.15"	-0.807174333244001	7.51265194936664	-10.430918093226	8.43542243486166e-10	0.00000000343102578263056	12.0462591523247	6.97924397731002	7.24521996411982	6.93604440835919	7.37749178885562	7.25337201854988	6.97323278993093	7.1571039486328	7.12753682321543	7.04109980056436	6.99876202363158	7.85076592353939	8.09424042618575	7.86378231090538	7.80371185377971	7.61759781762097	8.33955443267383	7.78146149482512	7.97610609234166	8.01944284433687	7.81726824795454
"35"	"ENSG00000004534.14"	-0.474396523969983	6.46419210347606	-7.79708251068037	0.000000117287944157242	0.000000311129639012487	6.96801777566231	6.26511867176685	5.95002928188867	6.20201443703903	6.18200837649766	6.28066558778922	6.31990952497798	6.29245318356035	6.25893396611363	6.27420047046702	6.23837253889519	6.82369461742123	6.58960683297417	6.71429110721579	6.71223595002275	6.63648169605876	6.49436655377653	6.68899832914567	7.05714266443257	6.71892767759776	6.58439060188032
"36"	"ENSG00000004700.15"	-1.24591285190077	5.55320242511666	-20.185891681578	2.60072590284151e-15	5.83410665030902e-14	25.141731381163	5.04037610527069	5.13115659060406	4.81183381303286	4.9770553383373	5.09715834480389	4.9088947659002	4.91534620242942	4.79789914075712	4.84788892287321	4.76229921269113	6.28375028769896	6.34884086241397	6.1782228099346	6.30847951371456	6.12287951440656	6.07279328702384	5.93369463862058	6.18241447437306	6.05074073837538	6.29232393907182
"37"	"ENSG00000004766.15"	-0.371961551512909	4.92326835014395	-4.70383259593762	0.000118599167804367	0.000198834250621164	0.0362477861081736	4.88707661848867	4.79233779197308	4.64927427051613	4.69610296413779	4.80400809632278	4.87905694361036	4.79606157763909	4.66417175857497	4.52445094292821	4.71663493680219	5.55289444045472	5.28571162689423	5.24070203295681	5.06302686528141	4.95896369561253	4.97281059536923	4.94723564230886	4.74574523703737	5.23102912862211	5.05807183734838
