"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000123908.11"	-1.94282217030523	7.01567914179595	1.77223504218629e-115	1.64753994597481e-113
"ENSG00000131724.10"	2.21541620524693	6.09738582484753	3.37623404628485e-115	3.11065706460834e-113
"ENSG00000250899.3"	-4.1849934022346	3.61835861273977	3.55119189962268e-115	3.24289816037225e-113
"ENSG00000104765.15"	1.97097550258841	6.4128477276362	3.71242545900885e-115	3.36039634311511e-113
"ENSG00000033100.16"	1.74075231446361	5.82824409098395	6.26259414918651e-115	5.61945295873527e-113
"ENSG00000112062.10"	-1.68646082438812	6.78372601608273	7.17176367893204e-115	6.3797783968017e-113
"ENSG00000115594.11"	3.71030543673904	8.96882463328114	1.14589290732305e-114	1.01063836843304e-112
"ENSG00000163382.11"	-2.19916442831953	4.46445908711835	1.4299307721453e-114	1.25046234218367e-112
"ENSG00000123562.16"	1.88380464023427	9.43156636375562	4.7639610573966e-114	4.13103480262819e-112
"ENSG00000256229.7"	2.91383464394252	7.06723538160585	7.05871427154112e-114	6.06990604733607e-112
"ENSG00000146242.8"	2.3111687513049	5.95219026369911	1.64400209719673e-113	1.4020212926424e-111
"ENSG00000183010.16"	5.64917953164499	6.04721044368541	1.96157248498639e-113	1.65913659611267e-111
"ENSG00000197614.10"	4.17523295015041	8.92667633161005	2.49056458561429e-113	2.08944194788243e-111
"ENSG00000108669.16"	2.26712385333364	5.22552910045875	3.69229133814328e-113	3.0726414772823e-111
"ENSG00000134046.11"	2.33713582554255	7.21428167107223	7.76550819136828e-113	6.41058232213834e-111
"ENSG00000164294.13"	2.22002984151702	6.41312457096491	9.6615908012071e-112	7.91253614902032e-110
"ENSG00000140416.19"	2.94771018365894	10.5632291711699	3.56845863487957e-111	2.89944288608837e-109
"ENSG00000198780.11"	-3.90749621586363	4.27458572790832	6.05628162520011e-111	4.88240391331562e-109
"ENSG00000136026.13"	2.63993403792641	7.27733419868908	6.53100878178027e-111	5.22430074567369e-109
"ENSG00000048140.17"	2.77315739372165	3.9071102297344	2.04848390926135e-110	1.62602349689753e-108
"ENSG00000079805.16"	1.90920605066143	8.30631014555147	4.07768523015547e-110	3.21203312137208e-108
"ENSG00000169242.11"	3.08029764502568	8.05839598902504	5.24611753380908e-110	4.1011126387406e-108
"ENSG00000124145.6"	2.29271483460407	8.111320835353	7.65774195904149e-110	5.9413713740864e-108
"ENSG00000134871.17"	3.26284742682838	11.9837836022005	2.28233872867441e-109	1.75757114486502e-107
"ENSG00000176871.8"	1.69862452108669	5.91551973919298	2.56135980355253e-109	1.95782754169323e-107
"ENSG00000102531.16"	2.36938064094108	7.61236203694303	8.96184733941548e-109	6.79980166878149e-107
"ENSG00000077232.17"	2.15531749944586	7.17814846561877	1.03144237687284e-108	7.76894444302982e-107
"ENSG00000185088.13"	2.41694433338371	6.33097581322415	1.99508236094561e-108	1.49183006395636e-106
"ENSG00000136261.14"	1.73371575412569	9.10878521184798	2.32913869190235e-108	1.72909224185182e-106
"ENSG00000110429.13"	1.48503042001032	5.92247723773837	3.58645970422923e-108	2.6434769777101e-106
"ENSG00000163131.10"	5.52904677963274	3.62970741867222	1.45650399574925e-107	1.06593366894586e-105
"ENSG00000115339.13"	2.53239693313776	5.34646241333696	1.91445636859742e-107	1.3912165681378e-105
"ENSG00000152229.18"	-2.45257770098588	4.54482171922778	4.52456063561811e-107	3.26496092300302e-105
"ENSG00000187608.8"	4.06371652736927	5.49819732149774	5.16788835038414e-107	3.70329443663986e-105
"ENSG00000138496.16"	2.81882542696392	5.33574315299511	1.16176560276748e-106	8.26776500341903e-105
"ENSG00000064115.10"	-1.82614119767071	4.64535846647258	1.44551115611668e-106	1.02165956301151e-104
"ENSG00000164849.9"	3.92806581600342	5.98409412383	4.77820673598759e-106	3.35417110943237e-104
