Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000008196.13,92,124.028,118,32,17,25
ENSG00000008197.5,0,0,0,0,0,0
ENSG00000008226.20,16.004,0,3,0,4,0
ENSG00000008256.17,2601.054,2612.012,3071.65,2108.196,1509.239,2692.001
ENSG00000008277.15,73,54,74.001,12,16,3
ENSG00000008282.10,2125.004,2390.02,2435.815,1347.793,1364.008,1346
ENSG00000008283.16,937.001,1234.021,1217.059,1218.43,973.765,971.998
ENSG00000008294.22,6540.996,6557.098,8636.232,5009.846,3801.111,4000.926
ENSG00000008300.17,109.006,105.001,117.999,126.004,60,98
ENSG00000008311.16,2786.783,2717.812,3654.497,705.623,638.623,466.408
ENSG00000008323.16,1049,1786.606,1263,3610.458,2937.796,3446.999
ENSG00000008324.12,290.005,322.841,266,151.001,165.402,132.996
ENSG00000008382.16,260,265.999,352.117,150.399,150,147
ENSG00000008394.13,106,58,82.001,636.999,429,783
ENSG00000008405.12,1323,819.001,1373.012,1758.123,1848.432,1492
ENSG00000008438.5,0,0,0,0,0,0
ENSG00000008441.19,65.058,4,4,10,4,6
ENSG00000008513.17,1531.375,2447.001,2347.008,5356.561,4952.395,4555.002
ENSG00000008516.18,0,0,5,2,1,7
ENSG00000008517.19,12.001,12,22.001,11,7,14
ENSG00000008710.20,2834.705,1877.041,3356.218,1976.577,1392.985,1665.008
ENSG00000008735.14,37,50,66,341.991,234,402
ENSG00000008838.21,2263.842,2208.999,2508.499,1412.728,1073.008,1102.001
ENSG00000008853.18,2074.706,2739,3299.239,1037.991,906.095,1032
ENSG00000008869.12,2270.997,2786.114,2472.216,2664.515,3264.2,3031.999
ENSG00000008952.17,2369.383,2708.031,2396,2989.962,2637.891,2843.401
ENSG00000008988.11,22990.555,28836.674,25503.432,11765.507,14207.604,14842.632
ENSG00000009307.17,20074.817,24145.731,22920.122,17764.202,18507.897,19227.451
ENSG00000009335.19,3827.732,3883.234,4198.007,3745.428,3254.505,3284.001
ENSG00000009413.17,3127.995,2025.677,1956.187,953.593,966.591,924.998
ENSG00000009694.14,0,0,0,0,7,2
ENSG00000009709.12,0,0,0,2,0,0
ENSG00000009724.18,0,0,7,0,0,0
ENSG00000009765.15,2.994,1,6,5.002,3,6
ENSG00000009780.16,1269.002,1490,1279,289,312,327
ENSG00000009790.15,0,1,0,20,5,12
ENSG00000009830.13,835.001,857.009,855.993,788,661.001,591.998
ENSG00000009844.16,1479.668,2012.999,1855.221,1448.213,1516.072,1507
ENSG00000009950.16,3.875,21.369,21.404,10.529,11.34,7
ENSG00000009954.11,6260.634,6743.204,6503.665,3361.509,3203.605,3731
ENSG00000010017.13,2384.608,2379,2741,1204.516,972.328,1054
ENSG00000010030.14,332.232,273,406.999,19,62,29
ENSG00000010072.16,499,548,555.139,376.001,358.001,419.002
ENSG00000010165.20,797.001,955,950.004,536,573.999,470.999
ENSG00000010219.14,117,134.001,144.999,128,131.001,60.999
ENSG00000010244.19,6482.208,8063.798,8497.214,7161.351,7014.936,6301.225
ENSG00000010256.11,5757.126,7286.487,6085.905,3159.906,3278.808,3155.218
ENSG00000010270.14,1105,1176.162,1016.001,1586.25,1716.999,1519.003
ENSG00000010278.15,62,409,151.927,4182.305,1720.927,3927.106
ENSG00000010282.15,0,0,0,1,0,0
ENSG00000010292.13,5599.366,7016.917,6420.99,1905.044,2116.468,1976.001
ENSG00000010295.20,252,211,313,239.628,236,210.999
ENSG00000010310.9,0,0,1,33,12,6
ENSG00000010318.22,72,76.999,92,69.999,44.999,35.001
ENSG00000010319.7,212.136,603,771.609,14,3,15
ENSG00000010322.16,4735.977,4645.957,6418.306,2953.007,2163.321,2722.999
ENSG00000010327.10,53,157.001,34,531.001,950.051,135.001
ENSG00000010361.14,269.001,268,305.069,163.001,115,82
ENSG00000010379.16,3,1,2,0,1,0
ENSG00000010404.18,1998.846,2197.097,2380.915,763.798,771.793,867.372
ENSG00000010438.17,0,0,0,0,1,0
ENSG00000010539.12,309.031,498.999,386,324.548,389.371,331.999
ENSG00000010610.10,18,13,5,161,205,63
ENSG00000010626.15,146.999,111,106.757,118.381,95,106.001
ENSG00000010671.18,26.036,44.26,47.147,70.038,64.147,48.346
ENSG00000010704.19,119.009,124.16,136.768,104.932,133.721,72.601
ENSG00000010803.17,609.002,546.045,680.449,283.186,242,201
ENSG00000010810.18,563.999,356.043,843.998,37,98.999,71
ENSG00000010818.11,804,538.001,817.001,376.438,485,403
ENSG00000010932.17,0,1,0,0,2,0
ENSG00000011007.13,2232.948,2899,2422.122,2021.958,1985.017,1739
ENSG00000011009.11,2262.419,2487,2247.448,1542.255,1662.001,1438.999
ENSG00000011021.23,281.001,371.014,426,398.002,280.009,257.001
ENSG00000011028.14,417,139,35.999,2714.43,1172.778,1109.998
ENSG00000011052.21,51.854,18.57,87.539,19.5,10.574,44.122
ENSG00000011083.9,0,0,0,0,5,4
ENSG00000011105.14,4420.196,4909.228,4601.36,4271.444,4205.981,3887.757
ENSG00000011114.15,1995.1,2395.07,2079.651,2354.712,2471.693,2829
ENSG00000011132.12,299.999,342.999,390.002,301.999,239.362,239.999
ENSG00000011143.19,444.121,521.178,545.044,284.388,291.917,254.989
ENSG00000011198.10,2033,2113.956,2611.238,734.999,650,736.001
ENSG00000011201.12,101,81,4,66,72,77
ENSG00000011243.19,2048.457,2530.076,2594.637,1559.357,1268,1195
ENSG00000011258.16,1073.086,1168,1351,600.001,533.011,642.001
ENSG00000011260.14,1600.337,1783.771,1448.399,951.368,1009.071,996.001
ENSG00000011275.19,1846.639,1623.2,1732.887,1081.18,927.308,1073
ENSG00000011295.16,1903.949,2178.792,2303.039,904.591,682.555,1441.008
ENSG00000011304.22,11577.757,12136.032,12618.007,7837.715,6168.246,6471.004
ENSG00000011332.22,6,16,11.001,53,101,25.999
ENSG00000011347.10,6179.155,6664.001,9098.964,214,124,409.001
ENSG00000011376.12,1717.806,1817.995,1635.001,915.999,840,762.001
