Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,CTB_1st_734,CTB_1st_738,CTB_1st_750,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089,EVT_1st_1094,EVT_1st_1096,EVT_1st_1097
ENSG00000189401.3,8.004,4.148,5,3.026,2.81,4.001,5,2.057,2.011,1,8,0
ENSG00000189403.15,10244.766,11546.386,10549.992,9265.769,14119.155,7980.943,5105.617,6146.335,6114.891,4689.742,8449.239,8178.488
ENSG00000189409.14,10,33.001,11,2.943,3,8,10,2.791,3,7,11,4
ENSG00000189410.12,56,158,158.001,26,85,96,198,10,123.999,110,92,80
ENSG00000189419.8,5,6,1,1,1,0,1,5,0,7,0,5
ENSG00000189420.9,9,1,0,1,0,1,5,2,6,0,8,1
ENSG00000189423.14,0,0,0,3.159,37.328,0,43.208,0,0,0,42.473,0
ENSG00000189430.13,1,1,2,3,0,0,3,0,17,23,15,3
ENSG00000189431.8,7,0,2,0,6,2,3,4,4,5,7,9
ENSG00000189433.7,0,0,0,0,0,0,0,0,0,1,1,1
ENSG00000194297.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000194717.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000195024.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000195401.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196071.6,3,0,1,1,2,0,0,0,0,0,0,0
ENSG00000196072.12,807.999,892.521,848.243,698.999,979.321,664.999,413.862,443.804,414.998,335.028,617.312,552.001
ENSG00000196074.13,45,28,43.999,19,45,18,104,122,94,82,95,101
ENSG00000196081.10,570.535,862.016,689.438,732.356,810.916,595.281,710.3,1048.214,864.263,553.725,913.183,886.989
ENSG00000196083.11,850.431,3121.41,1429,2291.837,1643.378,2074.621,23477.377,32018.171,24430.625,19692.474,23685.47,25883.811
ENSG00000196085.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196090.14,1,2,0,0,1,0,4,1,5,3,2,2
ENSG00000196091.15,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196092.14,0,0,0,0,0,0,4,2,7,1,2,7
ENSG00000196096.3,18,30,31.406,35.799,44,33.942,16.982,12,10,12,13.982,32.896
ENSG00000196098.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196099.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196104.11,0,0,0,0,0,0,0,1,1,4,2,12
ENSG00000196109.9,408.561,73.02,262.626,183.997,452.264,142,5,1,3,101,44.004,71
ENSG00000196110.8,188,200.001,221.745,236.271,244,198.996,284.002,397.049,422,303,441,369.001
ENSG00000196114.3,4,2,0,11,4,8,2,0,0,0,0,4
ENSG00000196115.13,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196116.8,193,134.049,104,94,151,78,372.011,547.002,348,324.369,525,563
ENSG00000196118.12,46,47,88,33.999,73.001,43,30.003,20,21,10,45.001,18
ENSG00000196119.8,10.935,23,47.326,31.106,26.321,32.911,26,35.001,31.065,24.412,22,26.72
ENSG00000196123.13,404.097,318,444.001,259,410.999,365,530.081,444,473,455,509,596.998
ENSG00000196126.12,10.737,6,2,0,0,11.476,726.99,855.419,395.576,244.339,804.575,886.139
ENSG00000196131.6,2,1,0,0,1,0,0,0,0,0,1,0
ENSG00000196132.14,1,0,4,1,0,0,0,3,0,0,0,0
ENSG00000196136.18,165.107,2,0,1,0,0,9,9,20,6,10,2
ENSG00000196139.14,1,1,0,0,0,0,3,0,1,1,7,9
ENSG00000196141.14,308.181,310.312,252.895,236.605,270.429,202.068,1070.201,1272.693,1132.091,908.989,1522.398,1593.956
ENSG00000196143.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196150.14,170.812,121,100.019,85,144.999,136.999,62,107,102.947,85.041,132.999,110
ENSG00000196151.11,632,582,611.081,475,638.999,471,190,153.001,157,126.001,216,182.001
ENSG00000196152.10,198,248,143,195,207,213.001,70,119,130.001,67,133.001,134
ENSG00000196154.12,331,142,74,59,62,43,570.972,450.041,493,505,970,576
ENSG00000196155.13,197.999,228,175,138.001,199.001,113,42,38,23,12,40,69
ENSG00000196156.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196159.14,295.383,43,11.999,15.017,24,8.055,51.033,63.001,38.834,16.052,50,54.291
ENSG00000196166.5,1,3,1.947,1,1,0,2.11,2,0,0,3,3
ENSG00000196167.10,27.517,31.2,59.08,46.203,78.827,81.122,37.505,28.67,28.993,18.705,17.335,26.149
ENSG00000196169.15,0,5,2,0,0,2,0,203,104.001,27,32,61.001
ENSG00000196171.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196172.9,524.997,574.226,517.75,486.17,652,305.077,304.999,549.14,419.191,326.118,389.998,406
ENSG00000196177.13,1368.205,1878.094,1774.206,1174.01,1692.231,1087.191,351.904,242.821,209.895,198.485,366.018,272.118
ENSG00000196182.11,1041.001,1335.001,1734.008,1049.01,1268.999,1240.246,1131.939,655.11,774,715,1050.999,1140.121
ENSG00000196183.5,2.001,0,0,0,0,1.46,0,1,0,1,0,0
ENSG00000196184.10,0,1.005,1,2,0.946,1,4.038,0,1,2,0,2.001
ENSG00000196187.12,2996.985,2936.697,4102.77,2707.001,3081.034,2975.131,333.002,148,307.004,358.063,286,457.979
ENSG00000196188.12,9,6,5,1,1,7,0,0,0,0,5,4
ENSG00000196189.14,27,5,25,16,6,14,27,15,19,39,34,47.001
ENSG00000196196.3,27,33,33,3,13,7,7,10,31,33,40,37
ENSG00000196199.14,2595.425,2335.001,2495.841,2045.999,2275.094,1897.004,943.871,871.999,1033.001,835,1136.17,1157
ENSG00000196204.12,301.156,241.647,262.073,227.909,392.986,271.832,605.872,418,503.938,419.685,668.583,511.48
ENSG00000196205.8,216.654,665.389,172.351,337.705,442.009,933.646,203.466,190.484,280.859,278.741,275.39,187.274
ENSG00000196208.14,392.987,102.57,144.307,112.887,136.916,146.216,420.073,461.093,344.264,166.701,311.994,440.557
ENSG00000196209.13,234.265,248.985,423.051,328.066,381.374,511.726,84.746,90.999,94.484,49.673,84.523,81.025
ENSG00000196214.11,568.921,789,600.439,612.314,734.718,605.74,512.508,658,622.026,442.999,668,608.949
ENSG00000196218.14,29,75,101.028,69,108,48,79.046,99,40.001,17,55.001,144.999
ENSG00000196220.17,58.999,146.862,84,53.803,151.489,130.348,24.718,26,20.999,14.018,57.109,25.886
ENSG00000196224.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196227.11,652.192,726,689.25,527.185,478.024,442,604.148,497,558.89,443,566.098,496.45
ENSG00000196228.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196230.14,27400.761,34763.507,29427.261,28208.242,37524.573,22337.151,33507.052,34982.974,27892.815,19182.269,42367.661,44374.009
ENSG00000196233.14,3744.376,4444.014,4266.036,3540.001,4021.229,3662.617,2135.89,2380.597,2404.823,2042.001,2574.992,2427.999
ENSG00000196235.14,3323.16,3760.016,3976.282,3429.002,3953.999,3002.426,4572.685,3489.275,3640.999,3113.999,4909.095,4146.001
ENSG00000196236.13,1105.325,1335.632,1348.578,1112.497,1311.149,1045.673,687.229,540.53,598.537,463.002,744.956,630.085
ENSG00000196240.6,0,0,0,0,0,0,0,0,0,0,0,6
ENSG00000196242.10,4,8,3,1,5,6,7,14,13,26,17,11
ENSG00000196243.5,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000196247.13,1095.992,1170.997,1573.665,1368.739,1254.834,1040.044,857.991,834.944,687,537.999,788,777.883
ENSG00000196248.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196260.5,0,0,0,0,0,0,0,0,0,0,4,0
ENSG00000196262.15,17172.474,23176.77,22412.271,18019.344,24413.303,15303.48,18992.304,22145.719,20509.084,16479.497,26598.68,25280.904
ENSG00000196263.8,271.583,281.52,306.845,247.457,236.879,181.562,146.477,171.993,161.78,117.014,146.673,144.14
ENSG00000196266.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196267.14,127.856,235.838,186.014,153,242.509,159.921,365,334.347,314.75,184.813,420.651,317.561
ENSG00000196268.12,765.952,729.228,935.103,680.432,910.765,797.368,410.251,589.467,399.874,352.844,463.001,588.692
ENSG00000196273.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196274.5,29.003,32.608,75.163,60.616,50.735,53.007,43.397,36.105,23.116,25.655,42.236,26.904
ENSG00000196275.16,137.94,158.458,240.16,189.04,155.567,227.256,408.961,487.554,379.019,257.41,412.915,444.001
ENSG00000196277.17,4.481,11.456,8.984,6.875,12.028,4.826,13,12.391,10.913,8,6.007,9
ENSG00000196284.18,115,160,120,122.999,137,108.001,134,141.001,157,130,150.001,171.999
ENSG00000196289.7,0,0,0,1,0,0,1,0,0,0,1,0
ENSG00000196290.17,726,955.001,800.001,708.341,973.444,586.061,479.001,547.999,498.999,491,611,592.999
ENSG00000196295.13,355.521,503.181,499.228,407.596,503.252,535.968,383.421,379.067,383.425,326.626,361.056,433.667
ENSG00000196296.14,11,15,10,9,10,61,18,16,7,9,14,11
ENSG00000196301.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196302.5,49.964,101.622,83.22,85.183,69.048,166.81,36.37,19.07,44.883,59.716,42.61,32.444
ENSG00000196305.19,7633.708,8820.833,8015.903,6768.023,9883.894,5942.734,4928.817,5178.351,4620.147,3829.055,5982.691,5520.616
ENSG00000196312.16,12.436,16.991,0,0,12.826,13.991,0,0,0,0,15.65,0
ENSG00000196313.13,1371.352,1422.458,1999.246,1835.537,1870.331,1907.587,862.508,583.571,606.601,419.409,769.046,1014.506
ENSG00000196323.14,3526.119,4051,3870.48,3073.501,4160.281,3229.055,1416.621,1312,1496.001,1365.999,1528.017,1672.979
ENSG00000196329.12,1,6,2,0,0,0,11.029,37,8,32,34,32
ENSG00000196335.13,12,46.001,45,51.695,20,69,20,15,7,25.999,23.001,17
ENSG00000196337.14,81.192,265.712,99.946,84.461,109.691,158.812,92.948,103.258,66.81,60.441,184.846,146.561
ENSG00000196338.15,95,70,172.053,110,102.001,107.001,39.998,36,27.999,41,50.001,41.001
ENSG00000196341.3,0,0,0,0,0,1,0,0,0,0,1,0
ENSG00000196344.12,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000196345.13,43.532,33,14.019,22.023,24.011,18.041,15.835,29,6,8,19,20.761
ENSG00000196350.9,208.993,230,229,221,274.963,107,19,4,9,40,31,143
ENSG00000196352.18,6230.04,7859.128,7522.66,7555,8520.791,6726.497,12406.849,12007.432,11528.696,10116.983,9343.095,9939.008
ENSG00000196353.13,0,0,0,0,0,2,0,1,3,0,1,4
ENSG00000196357.12,84.999,85,81,75,103.634,85.001,63.999,52,64,63,81.999,68.999
ENSG00000196358.12,9,2,3,2,0,4,0,3,0,0,3,2
ENSG00000196361.10,0,0,0,0,0,0,2,0,0,0,0,1
ENSG00000196363.10,2104.479,2668,2442.926,1976,2830.668,1835.042,681.001,658.536,652.001,508,1033.049,1069.001
ENSG00000196364.10,0,1,0,0,0,0,0,4.039,1,1,3.023,1
ENSG00000196365.12,2906.313,3154.815,3664.725,2919.988,3516.536,2296.801,1835.506,1519.743,1420.037,1172.999,2377.746,1887.326
ENSG00000196366.3,22,17,16,10,19,24.005,3,2,2,5,4,3
ENSG00000196367.15,3922.222,4270.829,5239.381,4051,3497.784,3247.056,1653.523,1334.005,1098.871,908,1400.001,1561
ENSG00000196368.5,48.134,24,23.233,18.305,27.456,17,9.923,8,9.998,9,6,9.243
ENSG00000196369.12,648.58,675.821,928.727,788.001,1034.962,615.88,3568.683,2821.079,2842.881,2501.996,3301.84,2692.64
ENSG00000196371.4,1843.625,2003.711,2273.039,1773.547,2184.18,1472.177,229.4,149,143.409,142.245,193.292,242.206
ENSG00000196372.13,275,367,337,231.999,235,223,66,60,77,61,131,143
ENSG00000196376.11,10.894,16.989,35.396,16.106,21.22,26.665,25.162,18.607,13,8.584,8.966,11.301
ENSG00000196378.13,150.846,131.078,174.657,192.04,260.704,184.465,146.716,134.744,169.6,119.837,207.189,231.414
ENSG00000196381.13,0,0,39.796,0,0,0,0,0,0,0,0,0
ENSG00000196383.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196387.10,612.402,649.001,700.559,460.999,657,563.001,380.001,521.001,430.001,394.001,619.027,479
ENSG00000196388.9,8,4,8,1,6,3,9,7,0,0,9,6
ENSG00000196390.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196391.11,76.999,108,131.999,84,146.001,394.001,47,40,63,27,55,50
ENSG00000196395.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196396.10,4256.403,4460.566,5221.691,3882.003,5348.282,3579.414,1115.634,982.708,1170,884,1338.943,1378.87
ENSG00000196403.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196405.13,1728.421,2015,2148.211,1230,2112.013,2035.697,1022.458,485.001,734.072,683,923.868,769.222
ENSG00000196406.4,0,2,0,0,1,0,0,0,0,0,0,0
ENSG00000196407.12,0,1,2,0,0,2,0,0,2,0,0,0
ENSG00000196408.12,0,5,4,3,1,3,2,3,5,5,12,2
ENSG00000196411.10,16515.58,17679.518,19628.667,11184.628,16032.58,12700.791,488.306,312,927,960.187,1570.999,1344
ENSG00000196415.10,0,0,0,0,0,0,6,1,2,0,2,2
ENSG00000196417.13,1345.164,1544.526,1250.429,1127.028,1299.579,1237.302,1178.196,1831.558,1574.064,1179.709,2160.843,1529.715
ENSG00000196418.13,1170.015,1073.678,893.152,783.95,1163.232,1050.398,991.149,1092.012,1271.131,879.232,1136.484,935.823
ENSG00000196419.13,15791.314,18446.833,17111.711,14310.634,20112.487,11072.738,7710.484,8344.773,7675.518,6518.103,10512.887,10352.055
ENSG00000196420.8,0,2,2,0,0,1,21,30,13,17,15,13
ENSG00000196421.9,23,17,32,22,25,38,26,9,2,13,11,16
ENSG00000196422.11,181,127,222.001,177,190,275,222,266,308,202,307,184
ENSG00000196427.14,15.098,4.611,5.467,21.643,12.471,0,50.725,67.037,24.313,36.438,72.782,59.544
ENSG00000196428.13,3673.771,2682.894,4240.121,3981.758,4513.049,3290.801,2538.262,1970.836,2298.995,1857.797,3662.717,3469.48
ENSG00000196431.4,1,0,0,0,0,0,0,0,3,0,0,2
ENSG00000196433.13,2,6,0,3,1,3,6,45,15,13,8,4
ENSG00000196436.9,29.655,48.844,274.099,112.067,71.85,235.295,262.377,53.974,100.821,169.318,163.954,151.569
ENSG00000196437.12,252.001,251,236,264,372,210.017,155.999,198,198.001,130,188.001,262.999
ENSG00000196440.12,87.999,59,29,24,32,41,26.001,46,34,28,26,32.001
ENSG00000196449.4,1030,928,1016,800,1274.631,658.014,803.736,854,767,566,1029,928
ENSG00000196453.8,400.317,581,551,403,595,446,451.063,325,359,299,554,546.158
ENSG00000196455.8,1507.001,1848.091,1548.406,1451.971,2001.026,1298.344,882.523,1034.078,894,797,1094,1099
ENSG00000196456.13,45,55,62.999,40,43,58,41,33,25,21,53,38
ENSG00000196458.11,622.104,624.001,686.942,514.121,681.599,572.802,420.408,445.674,424.429,394.917,531.685,419.946
ENSG00000196459.15,548.092,641.986,863.551,768.101,876.617,528.874,327.023,334.005,359.223,348.114,508.822,553.584
ENSG00000196460.14,34,10,39,22,67,22,16,31,22,18,14,10
ENSG00000196465.11,353,368,365,298.001,452,246,229.998,264.001,264.001,208.999,385,405.999
ENSG00000196466.10,966.068,1120.261,1001.787,798.13,909.184,921.477,209.46,169.535,192.472,193.18,229.864,211.271
ENSG00000196468.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196470.12,7087.747,7852.715,8599.431,5983.454,8685.49,5546.685,798.136,766.044,1114.495,1095.121,1244.998,1149.119
ENSG00000196472.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196475.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196476.12,26,28.001,10,14,18,11,4,8,16,9,8,16
ENSG00000196482.18,4222.446,4903.056,5164.73,3568.395,4995.73,3787.458,491.999,199,334.999,511,510.999,487.406
ENSG00000196497.17,2196.602,2314.871,2530.581,2135.359,2448.132,1752.547,779.037,760.999,559.637,424.689,992.133,898.601
ENSG00000196498.15,980.001,1051.016,1555,1646.167,1132.001,1341.015,3176.19,1772.752,1669.001,1079.999,2910.504,3032.132
ENSG00000196502.14,14.681,82.683,35.294,36.272,62.701,37.5,91.944,8.715,174.673,79.434,100.71,53.644
ENSG00000196503.5,0,0,0,1,1,0,4,2,2,0,5,3
ENSG00000196504.21,5633.358,7521.759,6356.767,5846.884,7991.425,5062.018,4165.937,4726.891,4080.885,3364.095,4962.149,5086.402
ENSG00000196505.11,1459.083,1755,1558.096,1309.001,1765.437,1393.191,970.82,991.036,946.999,824,1097.717,1104.01
ENSG00000196507.11,73,0,1,3,3,4,12,22,94,49,26,54
ENSG00000196510.14,777.827,1009.478,781.723,823.359,1065.566,602.208,434.286,413.993,392.537,285.092,551.409,561.364
ENSG00000196511.15,1681,2095.762,2149.007,1486.001,2157.815,1359,289.999,299.999,222,250,390.972,275.999
ENSG00000196517.13,72,105,88,58,113,48,25,5,19,19,17,26
ENSG00000196526.11,1907.092,4123.318,2324.617,3371,2912.154,3004.97,18912.616,23689.386,21544.331,14685.413,22866.516,23433.529
ENSG00000196531.14,17846.482,20254.903,17637.007,15020.284,21090.48,13856.785,11065.682,12934.164,12101.34,9798.192,14788.335,14539.793
ENSG00000196534.5,7,1,4,4,1,6.033,0,1,0,2,0,1
ENSG00000196535.20,1222.004,1812,1471.772,1671.999,1877,1247.623,4282.929,4360.813,2610.675,1891.998,4865.123,4560.149
ENSG00000196539.3,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000196542.9,0,2,9,0,1,1,0,0,0,0,1,0
ENSG00000196544.8,278,313,265.03,192,301,172,141,190,162,169,248,203
ENSG00000196547.15,2606.703,2658.002,3221.234,2168.531,2346.117,2345.006,797.458,399.001,688,530.998,852.999,703.999
ENSG00000196549.13,16277.616,17830.254,16718.187,11474.991,16072.302,12967.944,9643.852,10507.845,6373.011,6810.04,7401.922,7414.413
ENSG00000196550.11,197.021,310.167,231.398,220.501,253.15,198.893,238.069,167.719,173.106,149.517,205.245,278.658
ENSG00000196553.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196557.13,174,1,1,0,2,3,5,7,4,3,15,3
ENSG00000196562.16,1573.804,39,34,15,59,31,69,25,12,10,35,34
ENSG00000196564.4,1,0,1,0,1.995,2,0,0,1,3,0,0
ENSG00000196565.15,96.38,0,3.963,12.966,39.453,17.259,1311.758,169.306,108.942,369.762,294.8,61.24
ENSG00000196566.2,5.037,18,28.689,30.036,18.478,18.867,26.51,5.002,8.934,2,2.025,4.999
ENSG00000196569.14,1526.965,238.567,56.917,54.909,60.583,60.067,373.98,34.989,62,87.999,59.002,83.005
ENSG00000196570.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196576.16,695.133,1424.001,688,889,601.001,722.169,10420.276,14217.234,13437.755,6380.903,16446.563,14254.244
ENSG00000196578.4,0,0,5,0,0,0,1,0,33,1,0,1
ENSG00000196581.11,45,12,130.999,48.999,42,5,7,4,13,4,18,16
