Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000272153.1,0,2,1,7,5,3
ENSG00000116198.12,943,1184,1157,1430,1254,1347
ENSG00000169598.15,342,371,284,983,1174,1119
ENSG00000198912.10,1211,1524,1420,743,746,703
ENSG00000236423.5,5,9,12,9,7,7
ENSG00000233304.6,0,0,0,0,1,0
ENSG00000226374.2,0,0,2,0,0,0
ENSG00000229280.1,0,0,0,0,0,0
ENSG00000235054.3,0,0,0,1,0,0
ENSG00000227169.2,0,0,0,0,0,0
ENSG00000232596.2,0,0,0,0,0,0
ENSG00000196581.10,46,20,137,7,4,13
ENSG00000231510.1,0,0,0,0,0,0
ENSG00000260972.1,3,0,0,0,0,0
ENSG00000283356.1,0,2,0,0,0,0
ENSG00000236948.2,0,0,1,0,0,0
ENSG00000264341.1,0,0,0,0,0,0
ENSG00000264101.1,1,0,2,1,0,0
ENSG00000131697.17,264,204,310,146,142,113
ENSG00000069424.14,48,17,18,111,148,69
ENSG00000116254.17,1,1,2,10,5,14
ENSG00000116251.9,11886,14375,12153,5854,6883,6614
ENSG00000226944.1,15,10,17,4,2,5
ENSG00000158286.12,896,846,1107,417,260,353
ENSG00000116237.15,3562,4672,3576,2720,3022,3160
ENSG00000225077.2,27,35,40,28,83,68
ENSG00000173673.7,0,0,0,0,0,0
ENSG00000158292.6,138,23,27,20,2,1
ENSG00000097021.19,293,330,355,383,177,289
ENSG00000271746.1,8,9,7,6,6,7
ENSG00000069812.11,276,554,522,893,327,1963
ENSG00000187017.15,154,165,276,35,10,24
ENSG00000265392.1,0,0,0,0,0,0
ENSG00000231868.1,0,0,0,0,0,0
ENSG00000215788.9,63,79,96,580,335,275
ENSG00000171680.21,278,329,269,3933,2069,1709
ENSG00000162408.10,1878,2455,2239,1159,1009,1103
ENSG00000253022.1,0,0,0,0,0,0
ENSG00000229519.2,0,0,0,0,0,0
ENSG00000173662.20,0,1,0,0,2,4
ENSG00000204859.12,357,372,446,253,293,228
ENSG00000162413.16,2651,1591,2344,1455,1315,1162
ENSG00000116273.5,1074,1271,1009,542,773,726
ENSG00000041988.15,282,370,259,173,128,187
ENSG00000007923.15,2015,2513,2419,1448,1139,1137
ENSG00000228750.6,0,0,0,0,2,0
ENSG00000237436.1,23,15,17,7,2,5
ENSG00000171735.18,175,212,198,405,295,417
ENSG00000227950.1,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0
ENSG00000237402.1,0,1,0,1,0,0
ENSG00000237728.2,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0
ENSG00000269978.1,0,0,0,0,2,1
ENSG00000049245.12,3063,3732,3595,3645,4290,3649
ENSG00000269925.1,14,30,34,39,14,23
ENSG00000049246.14,277,176,257,64,74,37
ENSG00000236266.1,1,1,2,2,1,0
ENSG00000049247.13,2,6,0,0,0,0
ENSG00000049249.8,3,0,2,8,6,4
ENSG00000270330.1,0,0,0,0,0,0
ENSG00000116288.12,2597,3060,2722,1547,1582,1519
ENSG00000200344.1,0,0,0,0,0,0
ENSG00000116285.12,7851,4913,8723,1917,1024,1961
ENSG00000238290.1,22,4,39,1,3,2
ENSG00000232848.1,0,0,0,0,0,0
ENSG00000229305.1,0,0,1,0,0,0
ENSG00000227634.2,11,4,13,0,2,1
