"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000123562.16"	1.88380464023427	9.43156636285758	4.7639610574023e-114	4.13103480263313e-112
"ENSG00000256229.7"	2.91383464394252	7.06723537559701	7.05871427154233e-114	6.06990604733711e-112
"ENSG00000146242.8"	2.3111687513049	5.95219025103985	1.64400209719851e-113	1.40202129264392e-111
"ENSG00000183010.16"	5.64917953164499	6.04721042761022	1.96157248498508e-113	1.65913659611156e-111
"ENSG00000197614.10"	4.17523295015041	8.92667632960557	2.49056458561415e-113	2.08944194788231e-111
"ENSG00000108669.16"	2.26712385333364	5.2255290820314	3.69229133813886e-113	3.07264147727862e-111
"ENSG00000134046.11"	2.33713582554255	7.21428166664738	7.76550819135855e-113	6.41058232213031e-111
"ENSG00000164294.13"	2.22002984151702	6.41312456320092	9.66159080121618e-112	7.91253614902776e-110
"ENSG00000140416.19"	2.94771018365894	10.5632291706613	3.56845863487957e-111	2.89944288608837e-109
"ENSG00000198780.11"	-3.90749621586363	4.27458576471566	6.0562816252032e-111	4.88240391331811e-109
"ENSG00000136026.13"	2.63993403792641	7.27733419367369	6.53100878178789e-111	5.22430074567979e-109
"ENSG00000048140.17"	2.77315739372165	3.90711018772718	2.04848390925907e-110	1.62602349689572e-108
"ENSG00000079805.16"	1.90920605066143	8.30631014389561	4.07768523016197e-110	3.21203312137721e-108
"ENSG00000169242.11"	3.08029764502568	8.05839598612423	5.24611753381416e-110	4.10111263874457e-108
"ENSG00000124145.6"	2.29271483460407	8.11132083286224	7.657741959038e-110	5.94137137408369e-108
"ENSG00000134871.17"	3.26284742682838	11.983783602002	2.28233872867441e-109	1.75757114486502e-107
"ENSG00000176871.8"	1.69862452108669	5.91551973023052	2.56135980355166e-109	1.95782754169256e-107
"ENSG00000102531.16"	2.36938064094108	7.61236203384657	8.96184733941624e-109	6.79980166878207e-107
"ENSG00000077232.17"	2.15531749944586	7.17814846150668	1.03144237687308e-108	7.76894444303159e-107
"ENSG00000185088.13"	2.41694433338371	6.33097580534846	1.99508236094766e-108	1.49183006395789e-106
"ENSG00000136261.14"	1.73371575412569	9.10878521094883	2.32913869190261e-108	1.72909224185202e-106
"ENSG00000110429.13"	1.48503042001032	5.92247722973795	3.58645970422974e-108	2.64347697771048e-106
"ENSG00000163131.10"	5.52904677963274	3.62970735949062	1.45650399574889e-107	1.06593366894559e-105
"ENSG00000115339.13"	2.53239693313776	5.34646239311036	1.91445636859698e-107	1.39121656813748e-105
"ENSG00000152229.18"	-2.45257770098588	4.54482174377577	4.52456063561682e-107	3.2649609230021e-105
"ENSG00000187608.8"	4.06371652736927	5.49819730060978	5.1678883503834e-107	3.70329443663933e-105
"ENSG00000138496.16"	2.81882542696392	5.33574313448293	1.16176560276761e-106	8.26776500341997e-105
"ENSG00000064115.10"	-1.82614119767071	4.64535848596877	1.44551115611783e-106	1.02165956301232e-104
"ENSG00000164849.9"	3.92806581600342	5.98409411040502	4.7782067359831e-106	3.35417110942922e-104
"ENSG00000164292.12"	2.96224539194512	7.48802203932777	5.70823027814033e-106	3.97994785406284e-104
"ENSG00000116704.7"	-2.96101348822694	6.4972466630911	1.62149034029336e-105	1.12296367929444e-103
"ENSG00000089639.10"	4.29246603856459	4.52311947073016	1.77303876244604e-105	1.21973246597872e-103
"ENSG00000168092.13"	1.63793830245179	7.58474097051706	3.74737167795854e-105	2.56086942681154e-103
"ENSG00000116584.17"	3.17942095481081	6.92434221445011	4.84536691924394e-105	3.28943034471567e-103
"ENSG00000198087.7"	-1.71923041006066	7.03370512217131	1.27977069730266e-104	8.63134236958569e-103
"ENSG00000206538.8"	2.93882014182711	10.298199350712	1.47786950915751e-104	9.90268536688075e-103
"ENSG00000170581.13"	1.90922709666114	7.56281055213002	1.96333709144566e-104	1.30707583526631e-102
"ENSG00000086598.10"	1.44944934163138	8.61310566195565	3.49172306992118e-104	2.30968527939209e-102
"ENSG00000166912.16"	-2.1786044367881	6.43035000350459	3.63674033650522e-104	2.39028812308263e-102
"ENSG00000136068.14"	2.69987994112954	11.2270533437015	4.73737340286189e-104	3.0939845660843e-102
"ENSG00000180879.13"	1.55116629448656	6.42070579131598	5.95936155086572e-104	3.86758816625053e-102
"ENSG00000008323.15"	2.02688373419906	6.66658902693136	1.26335274028908e-103	8.1478355794019e-102
"ENSG00000137693.13"	-2.20582650384152	8.11273585249323	1.37684072443616e-103	8.82460834500418e-102
"ENSG00000196700.8"	-1.59137776106645	5.55753140121735	2.54015679081288e-103	1.61801715582704e-101
"ENSG00000081026.18"	-2.38364626156048	4.96584432923091	2.67431846408591e-103	1.69302406324555e-101
"ENSG00000197948.10"	2.1372569750375	4.36766516394717	4.31996218399278e-103	2.71815181564765e-101
"ENSG00000118707.9"	-3.4444400294249	3.64600365104762	4.39646148280651e-103	2.74952036612608e-101
"ENSG00000162734.12"	2.24504812941722	6.80333131798316	4.65518077474005e-103	2.89378375991221e-101
"ENSG00000114423.18"	3.02972102553146	8.01088866849753	7.24143651169977e-103	4.47451397390598e-101
"ENSG00000100368.13"	5.1962177900845	8.82662925579119	1.20201568350093e-102	7.38309514169408e-101
"ENSG00000137509.10"	2.58650836388787	7.27025117577452	3.22172749792778e-102	1.96716012136786e-100
"ENSG00000120899.17"	2.81575810643795	6.87214030004748	3.5919263146486e-102	2.1802992729917e-100
"ENSG00000166557.12"	1.42377210806592	6.7653751549676	1.88799228914436e-101	1.13930949892869e-99
"ENSG00000139629.15"	2.11787097834481	7.12917537566963	2.4191524057208e-101	1.4513507950368e-99
"ENSG00000146112.11"	3.57754030491392	4.8156085846154	4.80259183541121e-101	2.86462110691377e-99
"ENSG00000123143.12"	2.65613092870739	5.85325857556051	5.53984512694083e-101	3.28538286579899e-99
"ENSG00000131236.16"	1.85589946115835	9.059740096916	1.37703710680185e-100	8.11979766005042e-99
"ENSG00000158156.7"	-1.9515397499808	4.5035302147294	3.0609379280531e-100	1.79464877724886e-98
"ENSG00000170348.8"	1.97035119310889	8.65062598054126	4.78819891092326e-100	2.79149291309701e-98
"ENSG00000006453.13"	2.58994603705626	7.00808411480331	7.57360301661673e-100	4.39056233306e-98
"ENSG00000170802.15"	2.15841261309274	7.12514057782737	1.18103442691023e-99	6.80843254261826e-98
"ENSG00000074842.7"	1.60029457013715	6.114473551374	1.53603560188494e-99	8.80575076436152e-98
"ENSG00000181751.9"	3.03214239238187	6.41600360724052	3.21292544085699e-99	1.83172252067421e-97
"ENSG00000163840.9"	2.16755746419562	6.26127534769657	3.5337186353729e-99	2.0035408021106e-97
"ENSG00000121310.16"	-3.61269076552271	5.76337651585207	7.46682778468088e-99	4.21039321913235e-97
"ENSG00000102034.16"	1.92368506091246	7.01796806904225	8.25609716191645e-99	4.6301449246639e-97
